fid,field_1,Long,Lat,SAMPLE_1
"115","115",-125.7763601,51.97577196,99844.3203125
"116","116",-126.0420708,51.77544485,65584.046875
"117","117",-123.616733,50.99905964,81218
"118","118",-123.8028563,51.10727484,65142.66015625
"119","119",-123.7086571,51.05056348,72134.703125
"120","120",-123.9924591,51.10243799,45182.578125
"121","121",-123.7347935,50.4870627,50240.2578125
"122","122",-123.8041998,50.99104968,60758.75
"123","123",-118.8246394,50.76532033,375838.03125
"124","124",-118.843061,50.7661767,373684.21875
"125","125",-118.8440612,50.76591102,373684.21875
"126","126",-118.8430502,50.76437886,373684.21875
"127","127",-118.8360175,50.76084489,374401.25
"128","128",-118.8440535,50.76463975,373684.21875
"129","129",-121.4937193,46.25103653,192721.265625
"130","130",-121.5367154,46.2318528,191657.484375
"131","131",-121.4858645,46.10452656,210287.109375
"132","132",-121.4512479,46.17680074,204849.59375
"133","133",-121.5765548,46.20024115,192480.4375
"134","134",-115.6485813,50.86996579,693974.75
"135","135",-115.677011,50.8884553,691625.375
"136","136",-115.6527456,50.82509563,689900.0625
"137","137",-121.7818221,48.77757288,62484.62109375
"138","138",-121.8170482,48.8170861,55280.0078125
"139","139",-121.6992269,48.85935651,58197.921875
"140","140",-121.8120189,48.73894153,66961.1640625
"141","141",-121.7843953,48.75841371,65697.4140625
"142","142",-121.8447998,48.75481788,62876.59765625
"143","143",-119.2731661,53.39784821,716700
"144","144",-119.5290391,53.46220986,702211.125
"145","145",-113.8351283,48.91529799,850136.1875
"146","146",-113.8600349,48.92521521,847230.8125
"147","147",-123.5949418,47.80652507,60749.15234375
"148","148",-123.6844512,47.82167757,57986.30859375
"149","149",-123.7079948,47.77268956,66007.1796875
"150","150",-123.6616357,47.77237239,66272.1875
"151","151",-123.7275316,47.78853636,62905.6796875
"152","152",-117.145425,50.18270056,496668.8125
"153","153",-117.1994724,50.20220889,492121.53125
"154","154",-117.2243019,50.19950138,489451.15625
"155","155",-117.3620053,51.15082604,546785.1875
"156","156",-122.4548766,41.32083205,181196.609375
"157","157",-122.4780617,41.32899018,178256.015625
"158","158",-122.4638596,41.33133402,180089.96875
"159","159",-122.4898449,41.32846431,177339.203125
"160","160",-122.4773877,41.31820196,178648.875
"161","161",-122.4757367,41.31879069,178648.875
"162","162",-122.4783022,41.31933324,178448.4375
"163","163",-118.0101458,52.66649806,692003.3125
"164","164",-118.0503645,52.63431666,684344.0625
"165","165",-118.1402695,52.61235338,675971.875
"166","166",-118.0809979,52.66678897,687163.5
"167","167",-106.4213377,39.11496972,1310407.875
"168","168",-106.4314563,39.12577535,1310875.875
"169","169",-106.4528792,39.12572128,1309315.625
"170","170",-106.4483715,39.10091138,1306866.25
"171","171",-106.4141985,39.08527652,1306980
"172","172",-106.4555385,39.11897956,1308325.125
"173","173",-110.81274,38.109462,944603
"174","174",-110.8143386,38.10958237,944603
"175","175",-110.8137127,38.10799327,944603
"176","176",-110.8153533,38.10774265,944603
"177","177",-110.8203932,38.10939936,944258.75
"178","178",-116.525416,50.51442955,579758.3125
"179","179",-116.4237882,50.44590043,587427.25
"180","180",-116.5101869,50.47411278,579122.875
"181","181",-116.5106019,50.4887442,580066.625
"182","182",-116.8504797,51.85889707,668482.75
"183","183",-116.8698095,51.89666716,671954.6875
"184","184",-117.8995676,52.57965403,687799.5625
"185","185",-117.9942241,52.55046247,676438.5
"186","186",-116.4349615,51.22713809,641350.8125
"187","187",-116.3999219,51.13069249,637508.25
"188","188",-116.3750827,51.18729288,644101.75
"189","189",-116.4295382,51.20224776,639965.0625
"190","190",-116.2595326,51.54907967,688243.25
"191","191",-116.2677824,51.56778905,689105
"192","192",-121.660124,45.37461145,248638.828125
"193","193",-121.6767731,45.38815127,245610.078125
"194","194",-121.6937692,45.33675814,248693.1875
"195","195",-121.7295979,45.34782748,244924.046875
"196","196",-120.303539,54.05864902,722020.5
"197","197",-120.3253125,54.03228813,716580.3125
"198","198",-120.3673491,54.03297533,713692.75
"199","199",-116.925521,38.75192644,602729.25
"200","200",-116.9258411,38.75256852,602920.25
"201","201",-116.925872,38.75129491,602729.25
"202","202",-116.9274922,38.75132036,602729.25
"203","203",-116.9278124,38.75196243,602729.25
"204","204",-115.2033402,50.57592003,723297
"205","205",-115.129625,50.57323067,731311.9375
"206","206",-115.2352224,50.54821133,718509.875
"207","207",-115.208075,50.52837267,721275.4375
"208","208",-122.3065002,49.50742763,12507.5302734375
"209","209",-119.0250802,52.38498406,580910.625
"210","210",-114.1974578,39.27328507,873585.625
"211","211",-114.1993849,39.27400316,873585.625
"212","212",-114.1988472,39.26973717,873585.625
"213","213",-114.1978373,39.27266349,873585.625
"214","214",-111.7533141,39.82121386,1102683.625
"215","215",-118.1299601,50.55616138,419562.625
"216","216",-109.2280331,38.43850845,1064039
"217","217",-109.2263282,38.45915365,1066097.5
"218","218",-109.2413126,38.45058091,1064609.25
"219","219",-109.2292901,38.43771795,1064039
"220","220",-109.2284524,38.43790696,1064039
"221","221",-109.2300555,38.43805213,1064039
"222","222",-109.2597751,38.4413782,1062205.625
"223","223",-120.5380978,52.3572596,491673.71875
"224","224",-121.7632874,46.90337494,95183.7421875
"225","225",-121.7193874,46.88347776,101342.734375
"226","226",-121.7580254,46.81531565,106392.453125
"227","227",-121.6870521,46.80672796,112598.1015625
"228","228",-118.9121622,53.11093485,700694.1875
"229","229",-119.1832469,53.12575458,687394.5
"230","230",-118.9669059,52.99703112,678815.8125
"231","231",-119.1827959,53.09398683,681966.5625
"232","232",-119.1894652,53.10983827,684235.125
"233","233",-126.4771834,52.25577649,25107.603515625
"234","234",-126.5205031,52.2845678,19333.412109375
"235","235",-126.529816,52.26067005,23372.423828125
"236","236",-126.5195863,52.24984505,25105.61328125
"237","237",-126.5426327,52.25154063,24228.826171875
"238","238",-122.2717935,50.63025359,155786.921875
"239","239",-122.2577764,50.59129715,148325.109375
"240","240",-122.2372562,50.61032275,151063.5
"241","241",-122.2814389,50.62295608,154435.75
"242","242",-122.1434404,41.41062981,213886.515625
"243","243",-122.1971798,41.45115097,207953.625
"244","244",-122.1656834,41.43281276,211789.359375
"245","245",-122.1923212,41.3675256,208902.265625
"246","246",-122.1639253,41.38763935,212237.828125
